WebSocket server running on ws://localhost:3001
Running in standalone mode - will simulate updates
Simulating update: test-order-1 -> submitted
Simulating update: test-order-2 -> submitted
Simulating update: test-order-3 -> completed
Simulating update: test-order-4 -> processing
Simulating update: test-order-5 -> failed
Simulating update: test-order-6 -> submitted
Simulating update: test-order-7 -> processing
Simulating update: test-order-8 -> processing
Simulating update: test-order-9 -> failed
Simulating update: test-order-10 -> submitted
New client connected
Simulating update: test-order-11 -> failed
Simulating update: test-order-12 -> submitted
Simulating update: test-order-13 -> completed
Simulating update: test-order-14 -> submitted
Simulating update: test-order-15 -> failed
Simulating update: test-order-16 -> failed
Simulating update: test-order-17 -> completed
Simulating update: test-order-18 -> processing
Simulating update: test-order-19 -> completed
Simulating update: test-order-20 -> processing
Simulating update: test-order-21 -> processing
Simulating update: test-order-22 -> submitted
Simulating update: test-order-23 -> failed
Simulating update: test-order-24 -> failed
Simulating update: test-order-25 -> completed
Simulating update: test-order-26 -> processing
Simulating update: test-order-27 -> processing
Simulating update: test-order-28 -> completed
Simulating update: test-order-29 -> completed
Simulating update: test-order-30 -> processing
Simulating update: test-order-31 -> processing
Simulating update: test-order-32 -> processing
Simulating update: test-order-33 -> submitted
Simulating update: test-order-34 -> completed
Simulating update: test-order-35 -> processing
Simulating update: test-order-36 -> submitted
Simulating update: test-order-37 -> submitted
Simulating update: test-order-38 -> submitted
Simulating update: test-order-39 -> processing
Simulating update: test-order-40 -> failed
Simulating update: test-order-41 -> failed
Simulating update: test-order-42 -> failed
Simulating update: test-order-43 -> completed
Simulating update: test-order-44 -> submitted
Simulating update: test-order-45 -> submitted
Simulating update: test-order-46 -> completed
Client disconnected
Simulating update: test-order-47 -> processing
Simulating update: test-order-48 -> failed
Simulating update: test-order-49 -> completed
Simulating update: test-order-50 -> submitted
Simulating update: test-order-51 -> processing
Simulating update: test-order-52 -> submitted
Simulating update: test-order-53 -> failed
Simulating update: test-order-54 -> processing
Simulating update: test-order-55 -> failed
Simulating update: test-order-56 -> submitted
Simulating update: test-order-57 -> submitted
Simulating update: test-order-58 -> processing
Simulating update: test-order-59 -> submitted
Simulating update: test-order-60 -> submitted
Simulating update: test-order-61 -> processing
Simulating update: test-order-62 -> failed
Simulating update: test-order-63 -> failed
Simulating update: test-order-64 -> failed
Simulating update: test-order-65 -> completed
Simulating update: test-order-66 -> failed
Simulating update: test-order-67 -> completed
